,,mrr,precision@5,hit@5,precision@10,hit@10,# tests
term0,stats,0.676111111111111,0.16000000000000003,0.8,0.08000000000000002,0.8,30
term0,local,0.575,0.14000000000000004,0.7,0.08000000000000002,0.8,30
term0,fblue,0.5888888888888888,0.15333333333333338,0.7666666666666667,0.08000000000000002,0.8,30
term1,stats,0.04444444444444444,0.013333333333333334,0.06666666666666667,0.006666666666666667,0.06666666666666667,30
term1,local,0.13425925925925924,0.05333333333333334,0.26666666666666666,0.03333333333333333,0.3333333333333333,30
term1,fblue,0.15203703703703703,0.060000000000000005,0.3,0.04000000000000001,0.4,30
term2,stats,0.06666666666666667,0.013333333333333334,0.06666666666666667,0.006666666666666667,0.06666666666666667,30
term2,local,0.04833333333333333,0.020000000000000004,0.1,0.010000000000000002,0.1,30
term2,fblue,0.05,0.020000000000000004,0.1,0.010000000000000002,0.1,30
term3,stats,0.03333333333333333,0.006666666666666667,0.03333333333333333,0.0033333333333333335,0.03333333333333333,30
term3,local,0.08111111111111112,0.020000000000000004,0.1,0.013333333333333334,0.13333333333333333,30
term3,fblue,0.08777777777777777,0.02666666666666667,0.13333333333333333,0.016666666666666666,0.16666666666666666,30
