Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
Golden Retriever,10,12,24,24,75,65,23,23,65,55,5,5,4,2,2,1,5,4,3,5,3,1
Dachshund,12,16,9,9,32,32,8,8,16,16,3,4,2,2,2,2,4,4,4,4,3,5
Labrador Retriever,10,12,24.5,24.5,80,70,22.5,22.5,65,55,5,5,4,2,2,1,5,5,3,5,5,3
Great Dane,7,10,32,32,175,140,30,30,140,110,3,3,3,1,4,1,3,4,5,3,4,3
Boxer,10,12,25,25,80,65,23,23,65,50,5,3,2,2,3,1,4,4,4,4,4,3
Dalmatian,11,13,24,24,70,70,19,19,45,45,3,3,4,2,2,1,4,4,4,4,4,3
Poodle (Miniature),10,18,15,15,15,15,10,10,10,10,5,3,1,4,1,1,5,5,3,5,4,4
Bullmastiff,7,9,27,27,130,120,25,25,110,100,3,3,3,1,3,1,3,3,5,4,4,1
Beagle,10,15,16,15,20,30,14,13,15,20,5,5,3,2,1,1,3,4,2,3,4,4
Border Collie,12,15,22,22,55,55,19,19,30,30,3,3,3,3,1,1,4,5,3,5,5,4
Siberian Husky,12,14,23.5,23.5,60,50,21,21,45,35,5,5,4,2,1,1,5,5,1,3,5,5
Shih Tzu,10,18,10.5,10.5,16,16,9,9,9,9,5,5,1,4,1,1,3,3,3,4,3,3
Pomeranian,12,16,7,7,7,7,6,6,3,3,3,3,2,3,1,1,3,3,4,3,3,4
Cardigan Welsh Corgi,12,15,12.5,12.5,38,34,10.5,10.5,30,25,4,3,3,2,1,1,4,4,3,4,4,5
Greyhound,10,13,30,30,70,65,28,28,65,60,3,4,2,1,1,1,3,3,3,3,4,3
Chow Chow,8,12,20,20,70,70,17,17,45,45,3,2,3,3,3,1,2,3,5,3,3,1
Chinese Shar-Pei,8,12,20,20,60,60,18,18,45,45,3,3,3,1,3,1,3,3,4,3,3,3
Cocker Spaniel,10,14,15.5,15.5,30,25,14.5,14.5,25,20,5,5,3,4,2,1,4,3,3,4,4,3
Great Pyrenees,10,12,32,32,120,90,27,27,110,80,3,3,3,2,3,1,3,3,5,3,3,3
West Highland White Terrier,13,15,11,11,20,20,11,11,15,15,5,3,3,3,1,1,4,5,5,3,4,5
Bernese Mountain Dog,7,10,27.5,27.5,115,95,25,25,80,70,5,5,5,3,3,1,4,4,3,4,4,3
Bull Terrier,12,13,22,22,70,70,21,21,50,50,3,1,3,2,1,1,4,4,3,3,4,3
Newfoundland,9,10,28,28,150,120,28,28,130,100,5,5,3,2,5,1,5,3,5,3,3,1
