module,num-direct-deps,num-transitive-deps,num-direct-dependents,num-transitive-dependents,max-dependency-depth,avg-dependency-path-length,num-circular-dependencies,leaf?,root?,num-namespaces,num-externally-used-namespaces,num-declared-api-namespaces,num-derived-api-namespaces,num-unexpected-api-namespaces,num-undeclared-api-namespaces,num-declared-friends,num-direct-uses,num-source-files,num-downstream-modules-affected,num-downstream-source-files-affected,num-affected-source-files,num-test-files-affected,percent-of-repo-source-files-affected,percent-of-repo-test-files-affected
config,0,0,57,192,0,0.0,0,true,false,1,1,1,1,0,0,0,0,1,192,1615,1616,1192,0.9932,0.9958
actions,20,116,6,192,14,6.2241,0,false,false,13,4,4,4,2,0,0,20,13,192,1615,1615,1190,0.9926,0.9942
activity-feed,8,116,5,192,16,10.1552,0,false,false,5,3,3,3,0,0,0,8,5,192,1615,1615,1190,0.9926,0.9942
ai.agent-api,10,116,2,192,8,3.1121,0,false,false,1,1,1,1,1,0,0,10,1,192,1615,1615,1190,0.9926,0.9942
ai.llm,14,116,4,192,8,3.1724,1,false,false,5,3,3,3,3,0,0,14,5,192,1615,1615,1190,0.9926,0.9942
ai.mcp,11,116,3,192,9,3.9052,1,false,false,5,3,3,3,3,0,0,11,5,192,1615,1615,1190,0.9926,0.9942
ai.metabot,39,116,6,192,7,2.3707,2,false,false,96,6,6,6,6,0,3,39,96,192,1615,1615,1190,0.9926,0.9942
ai.slackbot,19,116,3,192,8,2.9655,2,false,false,11,3,3,3,3,0,1,19,11,192,1615,1615,1190,0.9926,0.9942
analytics,21,116,41,192,14,5.8276,1,false,false,11,4,4,4,1,0,0,21,11,192,1615,1615,1190,0.9926,0.9942
analytics.prometheus,3,116,14,192,12,6.8017,2,false,false,1,1,1,1,1,0,0,3,1,192,1615,1615,1190,0.9926,0.9942
analyze,7,116,8,192,16,8.4138,1,false,false,10,1,1,1,0,0,0,7,10,192,1615,1615,1190,0.9926,0.9942
api,7,116,112,192,15,9.1207,0,false,false,14,12,12,12,11,0,0,7,14,192,1615,1615,1190,0.9926,0.9942
api-keys,8,116,5,192,15,9.2328,0,false,false,4,3,3,3,1,0,0,8,4,192,1615,1615,1190,0.9926,0.9942
api-scope,0,0,5,192,0,0.0,0,true,false,2,2,2,2,0,0,0,0,2,192,1615,1617,1190,0.9939,0.9942
api.context,0,0,89,192,0,0.0,0,true,false,1,1,1,1,1,0,0,0,1,192,1615,1616,1190,0.9932,0.9942
app-db,5,116,56,192,17,11.1121,1,false,false,23,5,5,5,3,0,0,5,23,192,1615,1615,1190,0.9926,0.9942
appearance,2,116,20,192,15,9.3103,0,false,false,3,2,2,2,0,0,0,2,3,192,1615,1615,1190,0.9926,0.9942
audit-app,10,116,19,192,15,8.319,0,false,false,7,2,2,2,0,0,0,11,7,192,1615,1615,1190,0.9926,0.9942
auth-identity,8,116,11,192,8,3.9914,0,false,false,7,2,2,2,0,0,0,8,7,192,1615,1615,1190,0.9926,0.9942
auth-provider,2,116,1,192,14,8.6121,0,false,false,2,1,1,1,0,0,0,2,2,192,1615,1615,1190,0.9926,0.9942
batch-processing,3,116,5,192,15,9.4483,0,false,false,4,2,2,2,0,0,0,3,4,192,1615,1615,1190,0.9926,0.9942
cache,11,116,6,192,17,9.5172,0,false,false,6,3,3,3,0,0,0,11,6,192,1615,1615,1190,0.9926,0.9942
channel,28,116,16,192,7,3.1724,2,false,false,41,11,11,11,8,0,0,28,41,192,1615,1615,1190,0.9926,0.9942
classloader,1,116,15,192,16,10.2759,1,false,false,3,2,2,2,0,0,0,1,3,192,1615,1615,1190,0.9926,0.9942
collections,13,116,28,192,11,5.9397,1,false,false,5,4,4,4,3,0,0,13,5,192,1615,1615,1190,0.9926,0.9942
content-verification,3,116,3,192,18,12.1552,0,false,false,4,2,2,2,0,0,0,3,4,192,1615,1615,1190,0.9926,0.9942
dashboards,19,116,7,192,14,7.1552,0,false,false,7,5,5,5,4,0,0,20,7,192,1615,1615,1190,0.9926,0.9942
dashboards.autoplace,1,116,1,192,15,8.0862,0,false,false,1,1,1,1,1,0,0,1,1,192,1615,1615,1190,0.9926,0.9942
dashboards.schema,4,116,4,192,20,13.4828,0,false,false,1,1,1,1,1,0,0,4,1,192,1615,1615,1190,0.9926,0.9942
database-routing,1,116,9,192,14,8.5517,0,false,false,1,1,1,1,0,0,0,1,1,192,1615,1615,1190,0.9926,0.9942
documents,17,116,4,192,18,9.3103,0,false,false,9,4,4,4,1,0,0,17,9,192,1615,1615,1190,0.9926,0.9942
documents.schema,1,116,3,192,16,10.2759,0,false,false,1,1,1,1,1,0,0,1,1,192,1615,1615,1190,0.9926,0.9942
driver,21,116,45,192,15,7.5948,4,false,false,97,24,24,24,23,0,0,21,97,192,1615,1615,1190,0.9926,0.9942
driver.api,24,116,1,192,15,6.2759,0,false,false,2,1,1,1,1,0,0,25,2,192,1615,1615,1190,0.9926,0.9942
eid-translation,3,116,7,192,15,9.2241,0,false,false,6,3,3,3,0,0,0,3,6,192,1615,1615,1190,0.9926,0.9942
embedding,6,116,12,192,15,6.7845,0,false,false,5,5,5,5,4,0,0,6,5,192,1615,1615,1190,0.9926,0.9942
events,2,116,65,192,19,12.9224,0,false,false,4,2,2,2,0,0,1,2,4,192,1615,1615,1190,0.9926,0.9942
formatter,5,116,3,192,16,10.2069,1,false,false,3,1,1,1,0,0,0,5,3,192,1615,1615,1190,0.9926,0.9942
graph,1,116,2,192,16,10.2759,0,false,false,1,1,1,1,0,0,0,1,1,192,1615,1615,1190,0.9926,0.9942
initialization-status,0,0,2,192,0,0.0,0,true,false,1,1,1,1,0,0,0,0,1,192,1615,1616,1190,0.9932,0.9942
internal-stats,4,116,1,192,14,8.4224,0,false,false,7,1,1,1,0,0,0,4,7,192,1615,1615,1190,0.9926,0.9942
